uid	pf_name
232	Bcl-2
328	Bcl-2
328	BH4
328	Pfam-B_6754
328	Pfam-B_7545
231	Bcl-2
231	Pfam-B_21253
231	Pfam-B_8874
935	Bcl-2
935	Pfam-B_16209
1048	C1_1
1048	Pfam-B_10758
1048	Pfam-B_16518
1048	Pfam-B_7723
1048	Pkinase
1048	RBD
1050	Ras
600	Pfam-B_2804
600	WD40
563	14-3-3
743	14-3-3
166	M-inducer_phosp
166	Pfam-B_18070
166	Rhodanese
323	M-inducer_phosp
323	Pfam-B_27227
323	Rhodanese
201	Pfam-B_3905
201	Pkinase
1043	Bcl-2
1043	BH4
1043	Pfam-B_15083
1043	Pfam-B_26228
368	P53
928	Pfam-B_29208
435	Pfam-B_23680
435	TFIID-31kDa
426	Ank
426	Pfam-B_59937
426	Pfam-B_99172
426	SH3_1
5971	BRCT
5971	Pfam-B_11032
5971	Pfam-B_13902
5971	Pfam-B_17478
5971	Pfam-B_3817
5971	Pfam-B_52026
5971	Pfam-B_91425
5971	zf-C3HC4
38	BRCT
38	PARP
38	PARP_reg
38	Pfam-B_16762
38	Pfam-B_3605
38	Pfam-B_7143
38	WGR
38	zf-PARP
35	Pkinase
24171	P19Arf_N
24171	Pfam-B_13769
24171	Pfam-B_60027
24264	Ribonuc_red_sm
24232	Pfam-B_28861
24232	Ribonuc_red_sm
544	Ribonuclease
621	Barstar
257	Bromodomain
257	DUF902
257	DUF906
257	KIX
257	Pfam-B_20366
257	Pfam-B_20386
257	Pfam-B_39795
257	Pfam-B_43284
257	Pfam-B_49343
257	Pfam-B_51183
257	Pfam-B_6
257	Pfam-B_7469
257	zf-TAZ
257	ZZ
150	Pfam-B_48150
150	Pfam-B_50707
150	zf-C2H2
5965	Hormone_recep
5965	Oest_recep
5965	Pfam-B_16375
5965	Pfam-B_177
5965	Pfam-B_7704
5965	zf-C4
748	Ets
748	Pfam-B_8119
36	Pfam-B_21716
36	Pfam-B_21739
36	Pfam-B_22544
36	Pfam-B_24348
36	Pfam-B_4869
36	Pfam-B_56232
36	Pfam-B_5863
36	zf-C2H2
315	HLH
89	Pfam-B_11013
89	Pfam-B_65289
89	RRM_1
74	HLH
74	Pfam-B_14357
74	Pfam-B_2979
74	Pfam-B_3324
74	Pfam-B_4395
704	Basic
704	HLH
704	Pfam-B_1701
425	Pfam-B_10968
425	Pfam-B_13084
425	Pfam-B_19362
425	Pfam-B_6648
425	Pfam-B_8259
425	RB_A
425	RB_B
266	E2F_TDP
266	Pfam-B_1340
266	Pfam-B_18008
266	Pfam-B_48546
266	Pfam-B_59335
163	HLH
163	Pfam-B_23012
163	Pfam-B_2979
163	Pfam-B_3324
163	Pfam-B_37430
163	Pfam-B_37432
163	Pfam-B_4395
163	Pfam-B_81742
713	HLH
617	C2-set
617	ig
48	Pkinase
681	Hist_deacetyl
262	CK_II_beta
2871	MRG
6778	Pfam-B_39523
6778	Pfam-B_52816
6778	RRM_1
4243	Pfam-B_16810
4243	Pfam-B_19022
4243	Pfam-B_58782
4243	PHD
4434	MIF4G
4434	Pfam-B_27645
4434	Pfam-B_6656
1705	Pfam-B_16549
1705	Pfam-B_2078
1705	Pfam-B_26223
1705	Pfam-B_45539
1705	Pfam-B_5358
1705	Topoisom_I
1705	Topoisom_I_N
6290	Dynamin_M
6290	Dynamin_N
6290	GED
6290	Pfam-B_14366
6290	Pfam-B_16974
6290	Pfam-B_46971
1959	Pfam-B_43510
1959	Pfam-B_60919
1959	PHD
182	FAT
182	FATC
182	Pfam-B_11054
182	Pfam-B_1412
182	Pfam-B_18416
182	Pfam-B_37815
182	Pfam-B_47192
182	Pfam-B_52359
182	Pfam-B_79834
182	PI3_PI4_kinase
1042	Pfam-B_10564
1042	Pfam-B_41249
1042	Pfam-B_44552
1042	Pkinase
1042	SH2
1042	SH3_1
8	Furin-like
8	Pfam-B_14252
8	Pfam-B_14640
8	Pfam-B_17155
8	Pfam-B_20146
8	Pfam-B_20863
8	Pfam-B_2529
8	Pfam-B_278
8	Pfam-B_3205
8	Pfam-B_6081
8	Pfam-B_7190
8	Pkinase
8	Recep_L_domain
8	YLP
355	EGF
355	I-set
355	ig
355	Pfam-B_83899
785	GDI
816	RRM_1
2338	Pfam-B_50776
2338	Pfam-B_879
2338	ThiF
861	Pfam-B_31789
861	Pkinase
861	SAM_2
3801	Pfam-B_102700
3801	Ras
4954	Ras
2022	Pfam-B_90509
2022	Ras
6597	Pfam-B_90509
6597	Ras
2121	Ras
5577	Ras
1735	Pfam-B_21149
1735	Ras
383	CH
383	efhand
383	Pfam-B_2148
383	Spectrin
538	efhand
6128	Cation_ATPase_C
6128	Cation_ATPase_N
6128	E1-E2_ATPase
6128	Hydrolase
6128	Pfam-B_12
6128	Pfam-B_2742
6128	Pfam-B_76
6128	Pfam-B_85402
6128	Pfam-B_97758
155	Homeobox
155	Pfam-B_4276
155	Pfam-B_4615
459	B56
459	Pfam-B_25393
165	PDGF
165	Pfam-B_3869
165	Pfam-B_3919
643	I-set
643	ig
643	Pfam-B_14262
643	Pfam-B_17705
643	Pfam-B_21583
643	Pfam-B_26568
643	Pfam-B_3188
643	Pfam-B_4559
643	Pfam-B_5618
643	Pfam-B_940
643	Pkinase
486	I-set
486	ig
486	Pfam-B_19896
486	Pfam-B_21583
486	Pfam-B_3188
486	Pfam-B_32413
486	Pfam-B_45150
486	Pfam-B_4559
486	Pfam-B_5618
486	Pfam-B_940
486	Pkinase
696	TPR
2434	zf-C2H2
512	Pfam-B_10409
512	WD40
507	Homeobox
507	Pfam-B_3006
2967	Ribosomal_L1
1360	Hist_deacetyl
1360	Pfam-B_48508
1360	Pfam-B_80566
1360	Pfam-B_80619
5924	Pfam-B_10448
5924	Pfam-B_12140
5924	Pfam-B_13315
5924	Pfam-B_14209
5924	Pfam-B_22614
5924	Pfam-B_27334
5924	Pfam-B_27864
5924	Pfam-B_48050
5924	Pfam-B_58021
5924	Pfam-B_8570
5924	TPR
6541	HSP70
2337	Pfam-B_30130
6591	Pfam-B_89361
390	Pfam-B_1315
390	SNARE
873	Synaptobrevin
13	Homeobox
13	Pfam-B_27733
13	Pfam-B_3764
13	Pfam-B_74954
13	Pfam-B_91804
911	HLH
911	Pfam-B_50206
1039	Pkinase
142	Myb_DNA-binding
142	Pfam-B_3490
2602	Pfam-B_99974
2602	SHMT
760	Exportin-t
760	Pfam-B_15953
962	Glucosamine_iso
962	Pfam-B_52350
962	Pfam-B_87215
1414	Pfam-B_18675
1414	RNA_pol_Rpb7_N
90	LBP_BPI_CETP
90	LBP_BPI_CETP_C
1030	LRR
1030	Pfam-B_18704
1030	Pfam-B_18705
4	Prion
4	Prion_octapep
1065	Bcl-2
1065	BH4
1065	Pfam-B_15083
1065	Pfam-B_26228
58	Cpn60_TCP1
58	Pfam-B_50894
613	Rhodanese
308	Gln-synt_C
308	Gln-synt_N
339	Cpn60_TCP1
6845	DAHP_synth_1
6845	Pfam-B_54522
6846	DAHP_synth_1
6846	Pfam-B_10784
6847	Methionine_synt
6847	Pfam-B_3560
6847	Pfam-B_752
6847	Pfam-B_796
6847	Pfam-B_858
6848	MTHFR
6849	S-AdoMet_synt_C
6849	S-AdoMet_synt_M
6849	S-AdoMet_synt_N
6850	Pfam-B_21
6850	Pfam-B_49522
6850	Pfam-B_49523
6850	Pfam-B_86921
6850	TPP_enzyme_M
6850	TPP_enzyme_N
6851	HMGL-like
6851	Pfam-B_315
6852	DAO
6852	Pfam-B_1149
6852	Pfam-B_1197
6852	Pfam-B_368
6852	Pfam-B_583
6852	Pfam-B_94547
6853	Pfam-B_1217
6853	Pyridoxal_deC
6854	Pyr_redox
6854	Pyr_redox_dim
6855	ADH_zinc_N
6856	ADH_zinc_N
6857	Pfam-B_6838
6858	F_bP_aldolase
6859	Enolase_C
6859	Enolase_N
6860	Gp_dh_C
6860	Gp_dh_N
6861	Hydrolase
6862	DRTGG
6862	Pfam-B_11023
6862	Pfam-B_3
6862	Pfam-B_84460
6862	Pfam-B_8711
6862	PTA_PTB
6863	GLF
6864	GerE
6864	Response_reg
6865	SAICAR_synt
6070	OTCace
6070	OTCace_N
6866	Pfam-B_329
6866	Pribosyltran
6867	Pfam-B_891
6868	ThiG
6869	BATS
6869	Radical_SAM
6870	ALA_synthase
6870	Aminotran_1_2
6870	Pfam-B_3707
6871	Pfam-B_14939
6871	Pfam-B_563
6871	Pfam-B_577
6871	Radical_SAM
6872	RNA_pol_A_bac
6872	RNA_pol_A_CTD
6872	RNA_pol_L
6873	Pfam-B_266
6873	RNA_pol_Rpb2_1
6873	RNA_pol_Rpb2_2
6873	RNA_pol_Rpb2_3
6873	RNA_pol_Rpb2_6
6873	RNA_pol_Rpb2_7
6874	RNA_pol_Rpb6
6875	Pfam-B_4764
6875	Ribosomal_L12
6876	Ribosomal_L9_C
6876	Ribosomal_L9_N
6877	Ribosomal_S2
6878	Phe_tRNA-synt_N
6878	tRNA-synt_2d
6879	B3_4
6879	B5
6879	FDX-ACB
6879	Pfam-B_269
6879	Pfam-B_833
6879	tRNA_bind
6880	tRNA-synt_1d_C
6880	tRNA_synt_2f
6881	HGTP_anticodon
6881	Pfam-B_284
6881	Pfam-B_311
6881	TGS
6881	tRNA-synt_2b
6882	KH_1
6882	Pfam-B_1713
6882	Pfam-B_2442
6882	Pfam-B_605
6882	Pfam-B_7737
6882	Pfam-B_906
6882	S1
6883	KOW
6883	NusG
6159	GTP_EFTU
6159	GTP_EFTU_D2
6159	GTP_EFTU_D3
6884	AAA
6884	Pfam-B_53
6884	zf-C4_ClpX
6141	GrpE
6141	Pfam-B_54054
6885	SspB
6886	DNA_gyraseA_C
6886	DNA_topoisoIV
6887	RecA
6888	CbiA
6888	Pfam-B_813
6889	ABC_tran
6890	Ferritin
6891	Hydrolase
6891	Pfam-B_33856
6892	Patatin
6892	Pfam-B_20356
6893	ABC_tran
478	EGF
